"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00094728","1889","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    457.2","","     457.2","0","       136","0","        86","0","        17","0","","","         7","Z","         0","0","        73","0","        13","0","       132","0","         2","0","","","","","","","  -16.1","0,0224, ","","","   140"," ,Z,1214, ","  92.7"," ,0,1109, ","   32.8","0,0609,+","0.0","0,1024","-3.9","0,1116","-5.6","0,1203","-10.6","0,1204","-10.6","0,1204","-0.6","0,0331","-3.9","0,0330","-8.9","0,0226","-8.9","0,0226","-8.9","0,0226","    3017.1","1","    3017.1","0","   1478.4"," ,0","","","      535"," ,Z","     11.55","0","     15.34","0","      7.76","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1890","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    480.5","","     480.5","0","       132","0","        85","0","        10","0","","","         7","Z","         0","0","        93","0","        24","0","       134","0","         9","0","","","","","","","  -13.9","0,0307, ","","","   178"," ,Z,1226, ","  47.5"," ,0,1217, ","   36.7","0,0708, ","-0.6","0,1121","-5.6","0,1127","-5.6","0,1127","-7.2","0,1128","-8.9","0,1213","-1.1","0,0419","-2.8","0,0324","-6.1","0,0317","-7.8","0,0309","-9.4","0,0308","    2827.2","2","    2827.2","0","   1160.2"," ,0","","","      758"," ,Z","     11.65","0","     15.56","0","      7.74","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1891","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    612.8","","     612.8","0","       118","0","        82","0","         5","0","","","         4","Z","         0","0","        77","0","        17","0","       135","0","        12","0","","","","","","","  -12.8","0,0302, ","","","   203"," ,Z,0125, ","  48.5"," ,0,0823, ","   36.7","0,0810, ","-1.1","0,1104","-3.3","0,1118","-8.3","0,1129","-8.3","0,1129","-10.0","0,1130","0.0","0,0506","-2.8","0,0326","-7.2","0,0317","-7.2","0,0317","-12.8","0,0302","    3038.4","4","    3038.4","0","   1002.1"," ,0","","","      441"," ,Z","     12.30","0","     16.20","0","      8.40","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1892","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    553.0","","     553.0","0","       114","Z","        70","Z","         6","Z","","","         9","Z","         0","Z","        94","0","        29","Z","       128","Z","        14","Z","","","","","","","  -12.8","0,0126, ","","","   152"," ,Z,0115, ","  61.7"," ,Z,1115, ","   36.1","Z,0729,+","0.0","0,1111","-3.9","0,1123","-6.1","0,1220","-9.4","0,1223","-9.4","0,1223","0.0","0,0425","-5.6","Z,0322","-5.6","Z,0322","-7.2","0,0321","-9.4","0,0217","    2916.2","2","    2916.2","Z","    904.7"," ,Z","","","      880"," ,Z","     11.24","0","     15.05","Z","      7.42","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1893","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    433.0","","     433.0","0","       122","0","        76","0","        15","0","","","         9","0","         0","0","       107","0","        33","0","       126","0","        12","0","","","","","","","  -17.2","0,0116, ","","","   152"," ,0,0304, ","  91.7"," ,0,0824, ","   35.0","0,0620, ","-0.6","0,1115","-2.2","0,1116","-4.4","0,1202","-6.7","0,1205","-10.6","0,1213","-1.7","0,0330","-5.6","0,0329","-5.6","0,0329","-8.3","0,0316","-9.4","0,0305","    3370.9","9","    3370.9","0","   1226.2"," ,0","","","     1231"," ,0","     10.39","0","     14.26","0","      6.52","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1894","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    506.7","","     506.7","0","       123","0","        68","0","        10","0","","","","","         0","0","        80","0","        19","0","       126","0","        11","0","","","","","","","  -17.2","0,0225, ","","","",""," 109.2"," ,0,0919, ","   35.6","0,0729, ","0.0","0,1107","-5.0","0,1119","-5.0","0,1119","-10.0","0,1227","-10.0","0,1227","0.0","0,0409","-3.9","0,0403","-6.7","0,0327","-6.7","0,0327","-17.2","0,0225","    2947.3","3","    2947.3","0","   1027.4"," ,0","","","      899"," ,Z","     11.65","0","     15.41","0","      7.89","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1895","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    674.6","","     674.6","0","       106","0","        65","0","        12","0","","","","","         2","0","       101","0","        34","0","       137","0","        23","0","","","","","","","  -20.0","0,0206, ","","","","","  49.5"," ,0,0126, ","   36.1","0,0923, ","-0.6","0,1112","-2.2","0,1121","-6.1","0,1203","-6.7","0,1204","-10.0","0,1212","0.0","0,0405","-3.9","0,0331","-5.0","0,0317","-6.7","0,0315","-9.4","0,0305","    3122.1","1","    3122.1","0","    898.9"," ,0","","","      571"," ,Z","     11.68","0","     15.75","0","      7.61","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1896","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    673.5","","     673.5","0","       111","0","        76","0","        12","0","","","","","         2","0","        98","0","        33","0","       144","0","        24","0","","","","","","","  -20.6","0,0217, ","","","","","  69.6"," ,0,0206, ","   36.7","0,0809, ","-1.1","0,1123","-3.3","0,1201","-5.6","0,1202","-10.0","0,1223","-10.0","0,1223","-0.6","0,0408","-4.4","0,0404","-4.4","0,0404","-9.4","0,0324","-9.4","0,0324","    2959.4","4","    2959.4","0","   1066.4"," ,0","","","     1628"," ,Z","     12.02","0","     15.82","0","      8.21","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1897","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    514.7","","     514.7","0","       127","0","        76","0","        13","0","","","         9","Z","         0","0","        76","0","        20","0","       135","0","         8","0","","","","","","","  -14.4","0,0126, ","","","   216"," ,Z,0212, ","  58.2"," ,0,0713, ","   33.9","0,0910,+","0.0","0,1118","-3.9","0,1123","-5.0","0,1124","-6.7","0,1220","-10.6","Z,1224","-4.4","0,0420","-4.4","0,0420","-4.4","0,0420","-7.2","0,0317","-9.4","0,0131","    2817.2","2","    2817.2","0","   1131.7"," ,0","","","      865"," ,Z","     11.99","0","     15.74","0","      8.24","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1898","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    659.7","","     659.7","0","       140","0","        93","0","        13","0","","","        11","0","         0","0","        62","0","        13","0","       133","0","        21","0","","","","","","","  -13.3","0,0202, ","","","   127"," ,0,1127,+","  78.0"," ,0,0220, ","   37.8","0,0703, ","0.0","0,1124","-3.3","0,1125","-10.0","0,1213","-10.0","0,1213","-10.0","0,1213","-1.7","0,0407","-3.3","0,0406","-8.3","0,0217","-8.3","0,0217","-10.0","0,0204","    2654.5","5","    2654.5","0","   1217.8"," ,0","","","      897"," ,0","     12.80","0","     16.31","0","      9.29","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1899","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    653.7","","     653.7","0","       113","0","        68","0","        11","0","","","         6","Z","         3","0","        80","0","        23","0","       143","0","        16","0","","","","","","","  -21.1","0,0210, ","","","    76"," ,Z,0307,+","  58.2"," ,0,0810, ","   35.0","0,0727,+","0.0","0,1112","-2.8","0,1206","-5.0","0,1226","-7.2","0,1229","-12.8","0,1230","-0.6","0,0406","-2.2","0,0403","-7.2","0,0321","-7.2","0,0321","-12.2","0,0214","    2910.6","6","    2910.6","0","    980.4"," ,0","","","      901"," ,Z","     12.20","0","     15.91","0","      8.48","0","","","","","","","","","","","","","","","","","","","","","",""
